order_id,customer_id,amount,order_date
0,34,154.73,2026-05-11
1,6,226.8,2026-05-11
2,41,177.37,2026-05-11
3,32,394.69,2026-05-11
4,32,174.35,2026-05-11
5,47,450.83,2026-05-11
6,39,101.12,2026-05-11
7,29,374.35,2026-05-11
8,38,90.47,2026-05-11
9,31,377.93,2026-05-11
10,31,342.45,2026-05-11
11,17,467.52,2026-05-11
12,2,205.91,2026-05-11
13,16,388.82,2026-05-11
14,27,154.4,2026-05-11
15,40,112.69,2026-05-11
16,13,88.77,2026-05-11
17,8,285.02,2026-05-11
18,22,101.45,2026-05-11
19,26,47.94,2026-05-11
20,27,53.44,2026-05-11
21,15,118.95,2026-05-11
22,6,193.7,2026-05-11
23,24,373.36,2026-05-11
24,46,122.14,2026-05-11
25,47,203.32,2026-05-11
26,18,68.53,2026-05-11
27,39,333.87,2026-05-11
28,50,33.36,2026-05-11
29,48,468.93,2026-05-11
30,37,454.96,2026-05-11
31,31,345.6,2026-05-11
32,30,35.28,2026-05-11
33,32,135.82,2026-05-11
34,6,423.82,2026-05-11
35,12,209.26,2026-05-11
36,23,347.05,2026-05-11
37,1,492.9,2026-05-11
38,35,198.53,2026-05-11
39,9,117.57,2026-05-11
40,14,450.57,2026-05-11
41,16,469.12,2026-05-11
42,25,390.2,2026-05-11
43,46,157.35,2026-05-11
44,26,244.67,2026-05-11
45,29,473.31,2026-05-11
46,6,474.01,2026-05-11
47,48,302.16,2026-05-11
48,12,251.44,2026-05-11
49,1,298.15,2026-05-11
50,40,385.43,2026-05-11
51,5,351.5,2026-05-11
52,50,333.84,2026-05-11
53,6,498.97,2026-05-11
54,46,276.6,2026-05-11
55,20,148.16,2026-05-11
56,4,291.29,2026-05-11
57,18,61.78,2026-05-11
58,37,330.27,2026-05-11
59,1,334.18,2026-05-11
60,2,193.74,2026-05-11
61,5,294.39,2026-05-11
62,4,463.64,2026-05-11
63,5,31.09,2026-05-11
64,43,92.78,2026-05-11
65,17,295.05,2026-05-11
66,41,388.95,2026-05-11
67,2,421.0,2026-05-11
68,22,84.7,2026-05-11
69,2,134.65,2026-05-11
70,20,217.79,2026-05-11
71,43,348.99,2026-05-11
72,8,42.83,2026-05-11
73,45,460.67,2026-05-11
74,9,213.81,2026-05-11
75,7,278.3,2026-05-11
76,38,327.06,2026-05-11
77,10,462.64,2026-05-11
78,43,396.66,2026-05-11
79,27,26.29,2026-05-11
80,42,368.85,2026-05-11
81,29,396.93,2026-05-11
82,25,391.31,2026-05-11
83,48,144.41,2026-05-11
84,42,49.2,2026-05-11
85,50,230.77,2026-05-11
86,41,114.3,2026-05-11
87,10,249.23,2026-05-11
88,3,115.66,2026-05-11
89,35,279.25,2026-05-11
90,33,267.76,2026-05-11
91,25,213.14,2026-05-11
92,30,436.36,2026-05-11
93,29,185.0,2026-05-11
94,3,260.38,2026-05-11
95,4,202.05,2026-05-11
96,14,420.74,2026-05-11
97,19,241.08,2026-05-11
98,12,457.36,2026-05-11
99,39,166.4,2026-05-11
